Qty,Value,Parts,Mouser Link
8,Bicolor LED red/green 3 mm through hole,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",859-LTL-14CHJ
2,PIN HEADER MALE 2x3 2.54 mm grid,"JP1, JP2",
3,M22-7131242,"J1, J2, J3",855-M22-7131242
3,M22-2511205,"J4, J5, J6",855-M22-2511205
16,100n,"C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18",CL10B104KA8NFNC 
2,10u,"C1, C2",710-860240572001
2,12k,"R1, R2",652-CR0805FX-1202ELF
1,18k,R3,652-CR0805FX-1802ELF
8,1M,"R53, R54, R55, R56, R57, R58, R59, R60",652-CR0805FX-1004ELF
2,1N5817-B,"D1, D2",750-1N5817T-G
8,1k,"R5, R8, R10, R13, R45, R46, R47, R48",652-CR0805FX-1001ELF
8,220k,"R21, R23, R31, R33, R38, R43, R49, R51",652-CR0805FX-2203ELF
1,30k,R4,652-CR0805FX-3002ELF
8,470k,"R22, R29, R32, R36, R41, R42, R50, R52",652-CR0805FX-4703ELF
24,47k,"R6, R7, R9, R11, R12, R14, R15, R16, R17, R18, R19, R20, R24, R25, R26, R27, R28, R30, R34, R35, R37, R39, R40, R44",652-CR0805FX-4702ELF
1,PIN HEADER MALE 2x5 2.54 mm grid,J25,
8,B50k,"P1BIAS, P2BIAS, P3BIAS, P4BIAS, P5BIAS, P6BIAS, P7BIAS, P8BIAS","https://www.thonk.co.uk/shop/ttpots/ 9 mm potentiometer TT electronics vertical PCB mount, 6 mm shaft"
8,B50k_CDET,"P1CV, P2CV, P3CV, P4CV, P5CV, P6CV, P7CV, P8CV","https://www.thonk.co.uk/shop/ttpots/ 9 mm potentiometer TT electronics vertical PCB mount, 6 mm shaft, center detent"
3,PIN HEADER MALE 1x8 2.54 mm grid,"J18, J19, J28, J29",
3,PIN HEADER FEMALE 1x8 2.54 mm grid,"J23, J24, J26, J27",
1,TL072D,IC6,595-TL072CDR
6,TL074D,"IC1, IC2, IC3, IC5, IC7, IC8",595-TL074CDR
2,PIN HEADER MALE 1x12 2.54 mm grid,"J9, J10, J7, J11, J12, J19",
2,PIN HEADER FEMALE 1x12 2.54 mm grid,"J8, J15, J16, J20, J21, J22",
